DataVenda;FormaPagamento;Cliente;Produto;Quantidade;Subtotal
2026-06-10T13:55:37.824861300;PIX;sgdfsfdggdfs;Guaraná 350ml;1;22.89
2026-06-11T00:05:05.448165300;PIX;Júlia;Pipoca G;1;34.7
2026-06-11T00:05:05.448165300;PIX;Júlia;Guaraná 500ml;1;10.5
2026-06-11T00:19:21.597255100;PIX;Júlia;Pipoca G;2;69.4
2026-06-11T00:34:31.968063600;Cartão;júlia;Pipoca G;2;69.4
2026-06-11T00:38:07.333853700;Cartão;Júlia;Pipoca G;2;69.4
2026-06-10T21:35:28.136640;PIX;Paulo Vinicius;Guaraná 350ml;3;68.67
2026-06-10T21:35:28.136640;PIX;Paulo Vinicius;Refri Coca 500ml;1;9.75
2026-06-10T21:35:28.136640;PIX;Paulo Vinicius;Pipoca G;1;34.7
2026-06-10T21:35:28.136640;PIX;Paulo Vinicius;Refri Coca 1L;1;10.5
